Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,-8.000E-02,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,1.200E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-02,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-05,
Horizontal Old Scale,2.000E-02,
Horizontal Old Position,0.000E+00,
Firmware,V1.23,
Mode,Detail,
Waveform Data,
-8.825999e-02,0.00e+00,
-8.823999e-02,0.00e+00,
-8.821999e-02,0.00e+00,
-8.819999e-02,0.00e+00,
-8.817999e-02,4.00e-02,
-8.815999e-02,0.00e+00,
-8.813999e-02,0.00e+00,
-8.811999e-02,0.00e+00,
-8.809999e-02,0.00e+00,
-8.807999e-02,0.00e+00,
-8.805999e-02,0.00e+00,
-8.803999e-02,0.00e+00,
-8.801999e-02,0.00e+00,
-8.799999e-02,0.00e+00,
-8.797999e-02,0.00e+00,
-8.795999e-02,0.00e+00,
-8.793999e-02,0.00e+00,
-8.791999e-02,0.00e+00,
-8.789999e-02,0.00e+00,
-8.787999e-02,0.00e+00,
-8.785999e-02,0.00e+00,
-8.783999e-02,0.00e+00,
-8.781999e-02,0.00e+00,
-8.779999e-02,0.00e+00,
-8.777999e-02,0.00e+00,
-8.775999e-02,0.00e+00,
-8.773999e-02,0.00e+00,
-8.771999e-02,0.00e+00,
-8.769999e-02,0.00e+00,
-8.767999e-02,0.00e+00,
-8.765999e-02,0.00e+00,
-8.763999e-02,0.00e+00,
-8.761999e-02,0.00e+00,
-8.759999e-02,0.00e+00,
-8.757999e-02,0.00e+00,
-8.755999e-02,0.00e+00,
-8.753999e-02,0.00e+00,
-8.751999e-02,0.00e+00,
-8.749999e-02,0.00e+00,
-8.747999e-02,0.00e+00,
-8.745999e-02,0.00e+00,
-8.743999e-02,0.00e+00,
-8.741999e-02,0.00e+00,
-8.739999e-02,0.00e+00,
-8.737999e-02,0.00e+00,
-8.735999e-02,0.00e+00,
-8.733999e-02,0.00e+00,
-8.731999e-02,0.00e+00,
-8.729999e-02,0.00e+00,
-8.727999e-02,0.00e+00,
-8.725999e-02,0.00e+00,
-8.723999e-02,0.00e+00,
-8.721999e-02,0.00e+00,
-8.719999e-02,0.00e+00,
-8.717999e-02,0.00e+00,
-8.715999e-02,0.00e+00,
-8.713999e-02,0.00e+00,
-8.711999e-02,0.00e+00,
-8.709999e-02,0.00e+00,
-8.707999e-02,0.00e+00,
-8.705999e-02,0.00e+00,
-8.703999e-02,0.00e+00,
-8.701999e-02,0.00e+00,
-8.699999e-02,0.00e+00,
-8.697999e-02,0.00e+00,
-8.695999e-02,0.00e+00,
-8.693999e-02,0.00e+00,
-8.691999e-02,0.00e+00,
-8.689999e-02,0.00e+00,
-8.687999e-02,0.00e+00,
-8.685999e-02,0.00e+00,
-8.683999e-02,0.00e+00,
-8.681999e-02,0.00e+00,
-8.679999e-02,0.00e+00,
-8.677999e-02,0.00e+00,
-8.675999e-02,0.00e+00,
-8.673999e-02,0.00e+00,
-8.671999e-02,0.00e+00,
-8.669999e-02,0.00e+00,
-8.667999e-02,0.00e+00,
-8.665999e-02,0.00e+00,
-8.663999e-02,0.00e+00,
-8.661999e-02,0.00e+00,
-8.659999e-02,0.00e+00,
-8.657999e-02,0.00e+00,
-8.655999e-02,0.00e+00,
-8.653999e-02,0.00e+00,
-8.651999e-02,0.00e+00,
-8.649999e-02,0.00e+00,
-8.647999e-02,0.00e+00,
-8.645999e-02,0.00e+00,
-8.643999e-02,0.00e+00,
-8.641999e-02,0.00e+00,
-8.639999e-02,0.00e+00,
-8.637999e-02,0.00e+00,
-8.635999e-02,0.00e+00,
-8.633999e-02,0.00e+00,
-8.631999e-02,0.00e+00,
-8.629999e-02,0.00e+00,
-8.627999e-02,0.00e+00,
-8.625999e-02,0.00e+00,
-8.623999e-02,0.00e+00,
-8.621999e-02,0.00e+00,
-8.619999e-02,0.00e+00,
-8.617999e-02,0.00e+00,
-8.615999e-02,0.00e+00,
-8.613999e-02,0.00e+00,
-8.611999e-02,0.00e+00,
-8.609999e-02,0.00e+00,
-8.607999e-02,0.00e+00,
-8.605999e-02,0.00e+00,
-8.603999e-02,0.00e+00,
-8.601999e-02,0.00e+00,
-8.599999e-02,0.00e+00,
-8.597999e-02,0.00e+00,
-8.595999e-02,0.00e+00,
-8.593999e-02,0.00e+00,
-8.591999e-02,0.00e+00,
-8.589999e-02,0.00e+00,
-8.587999e-02,0.00e+00,
-8.585999e-02,0.00e+00,
-8.583999e-02,0.00e+00,
-8.581999e-02,0.00e+00,
-8.579999e-02,0.00e+00,
-8.577999e-02,0.00e+00,
-8.575999e-02,0.00e+00,
-8.573999e-02,0.00e+00,
-8.571999e-02,0.00e+00,
-8.569999e-02,0.00e+00,
-8.567999e-02,0.00e+00,
-8.565999e-02,0.00e+00,
-8.563999e-02,0.00e+00,
-8.561999e-02,0.00e+00,
-8.559999e-02,0.00e+00,
-8.557999e-02,0.00e+00,
-8.555999e-02,0.00e+00,
-8.553999e-02,0.00e+00,
-8.551999e-02,0.00e+00,
-8.549999e-02,0.00e+00,
-8.547999e-02,0.00e+00,
-8.545999e-02,0.00e+00,
-8.543999e-02,0.00e+00,
-8.541999e-02,0.00e+00,
-8.539999e-02,0.00e+00,
-8.537999e-02,0.00e+00,
-8.535999e-02,0.00e+00,
-8.533999e-02,0.00e+00,
-8.531999e-02,0.00e+00,
-8.529999e-02,0.00e+00,
-8.527999e-02,0.00e+00,
