Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,5019,
Trigger Level,2.240E-01,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,1.720E+00,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-4.000E-07,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-08,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,-4.000E-07,
Firmware,V1.29,
Mode,Detail,
Waveform Data,
-8.902000e-05,-1.64e+00,
-8.900000e-05,-1.64e+00,
-8.898000e-05,-1.64e+00,
-8.896000e-05,-1.64e+00,
-8.894000e-05,-1.64e+00,
-8.892000e-05,-1.64e+00,
-8.890000e-05,-1.64e+00,
-8.888000e-05,-1.64e+00,
-8.886000e-05,-1.64e+00,
-8.884000e-05,-1.64e+00,
-8.882000e-05,-1.64e+00,
-8.880000e-05,-1.64e+00,
-8.878000e-05,-1.64e+00,
-8.876000e-05,-1.64e+00,
-8.874000e-05,-1.64e+00,
-8.872000e-05,-1.64e+00,
-8.870000e-05,-1.64e+00,
-8.868000e-05,-1.64e+00,
-8.866000e-05,-1.64e+00,
-8.864000e-05,-1.64e+00,
-8.862000e-05,-1.64e+00,
-8.860000e-05,-1.64e+00,
-8.858000e-05,-1.64e+00,
-8.856000e-05,-1.68e+00,
-8.854000e-05,-1.68e+00,
-8.852000e-05,-1.68e+00,
-8.850000e-05,-1.68e+00,
-8.848000e-05,-1.68e+00,
-8.846000e-05,-1.68e+00,
-8.844000e-05,-1.68e+00,
-8.842000e-05,-1.64e+00,
-8.840000e-05,-1.68e+00,
-8.838000e-05,-1.68e+00,
-8.836000e-05,-1.68e+00,
-8.834000e-05,-1.68e+00,
-8.832000e-05,-1.68e+00,
-8.830000e-05,-1.68e+00,
-8.828000e-05,-1.68e+00,
-8.826000e-05,-1.68e+00,
-8.824000e-05,-1.68e+00,
-8.822000e-05,-1.68e+00,
-8.820000e-05,-1.68e+00,
-8.818000e-05,-1.68e+00,
-8.816000e-05,-1.68e+00,
-8.814000e-05,-1.68e+00,
-8.812000e-05,-1.68e+00,
-8.810000e-05,-1.68e+00,
-8.808000e-05,-1.68e+00,
-8.806000e-05,-1.68e+00,
-8.804000e-05,-1.68e+00,
-8.802000e-05,-1.68e+00,
-8.800000e-05,-1.68e+00,
-8.798000e-05,-1.68e+00,
-8.796000e-05,-1.68e+00,
-8.794000e-05,-1.68e+00,
-8.792000e-05,-1.68e+00,
-8.790000e-05,-1.68e+00,
-8.788000e-05,-1.68e+00,
-8.786000e-05,-1.68e+00,
-8.784000e-05,-1.68e+00,
-8.782000e-05,-1.68e+00,
-8.780000e-05,-1.72e+00,
-8.778000e-05,-1.68e+00,
-8.776000e-05,-1.68e+00,
-8.774000e-05,-1.72e+00,
-8.772000e-05,-1.68e+00,
-8.770000e-05,-1.68e+00,
-8.768000e-05,-1.68e+00,
-8.766000e-05,-1.72e+00,
-8.764000e-05,-1.72e+00,
-8.762000e-05,-1.68e+00,
-8.760000e-05,-1.68e+00,
-8.758000e-05,-1.72e+00,
-8.756000e-05,-1.72e+00,
-8.754000e-05,-1.72e+00,
-8.752000e-05,-1.72e+00,
-8.750000e-05,-1.72e+00,
-8.748000e-05,-1.72e+00,
-8.746000e-05,-1.72e+00,
-8.744000e-05,-1.72e+00,
-8.742000e-05,-1.72e+00,
-8.740000e-05,-1.72e+00,
